Province,District,Gender,Age,Disability,Orphan,Poverty Level,School Level,School Type,Enrolled,Grade,Grade Repetition,Transition Status,Dropout Status,Out of School,Distance to School (km),Midday Meal,Internet Access,Hostel Facility
Lumbini,Arghakhanchi,Male,12,No,No,High,Lower Secondary,Public,Yes,6,No,Yes,No,No,4.7,Yes,No,No
Lumbini,Banke,Male,11,No,No,Low,Lower Secondary,Public,Yes,7,No,Yes,No,No,1.1,Yes,No,Yes
Lumbini,Bardiya,Male,16,No,No,Low,Upper Secondary,Private,Yes,9,No,Yes,No,No,1.9,No,Yes,Yes
Lumbini,Dang,Male,8,No,No,Low,Primary,Public,Yes,4,No,N/A,No,No,1.5,No,No,No
Lumbini,Eastern Rukum,Male,11,No,No,High,Lower Secondary,Private,Yes,7,No,No,No,No,2.6,No,Yes,No
Lumbini,Gulmi,Female,14,No,No,Very High,Lower Secondary,Public,Yes,7,No,Yes,No,No,4.6,Yes,No,Yes
Lumbini,Kapilvastu,Male,15,No,No,High,Upper Secondary,Public,Yes,11,No,Yes,No,No,2.0,No,Yes,No
Lumbini,Parasi,Male,15,No,No,High,Upper Secondary,Public,Yes,10,No,Yes,No,No,2.9,Yes,No,No
Lumbini,Palpa,Male,12,Yes,No,Low,Lower Secondary,Public,Yes,7,No,Yes,No,No,3.5,No,No,No
Lumbini,Pyuthan,Female,17,Yes,No,Low,Upper Secondary,Public,Yes,10,No,No,No,No,0.7,Yes,No,No
Lumbini,Rolpa,Female,8,No,No,Low,Primary,Public,Yes,3,No,N/A,No,No,3.1,Yes,No,Yes
Lumbini,Rupandehi,Female,17,No,No,High,Upper Secondary,Private,Yes,12,No,Yes,No,No,2.7,No,Yes,No
Karnali,Dailekh,Male,12,No,No,Medium,Lower Secondary,Private,Yes,6,No,Yes,No,No,2.0,No,Yes,Yes
Karnali,Dolpa,Female,9,No,No,Medium,Primary,Public,Yes,1,No,N/A,No,No,1.3,Yes,Yes,Yes
Karnali,Humla,Male,17,Yes,No,Low,Upper Secondary,Public,Yes,11,No,Yes,No,No,2.5,Yes,No,No
Karnali,Jajarkot,Female,7,No,No,Medium,Primary,Public,Yes,5,Yes,N/A,No,No,3.1,No,Yes,No
Karnali,Jumla,Male,15,No,No,Medium,Upper Secondary,Public,Yes,12,No,No,No,No,3.6,Yes,No,Yes
Karnali,Kalikot,Male,15,Yes,No,High,Upper Secondary,Public,Yes,10,Yes,Yes,No,No,3.6,Yes,No,Yes
Karnali,Mugu,Female,14,No,No,Very High,Lower Secondary,Private,Yes,6,No,Yes,No,No,4.2,No,Yes,No
Karnali,Salyan,Male,12,No,No,High,Lower Secondary,Private,Yes,7,No,Yes,No,No,2.8,No,Yes,Yes
Karnali,Surkhet,Female,10,No,No,High,Primary,Private,Yes,5,No,N/A,No,No,2.4,No,Yes,No
Karnali,Western Rukum,Female,14,No,No,Very High,Lower Secondary,Public,No,8,-,N/A,Yes,Yes,2.3,Yes,No,No
Sudurpashchim,Achham,Female,11,No,No,Very High,Lower Secondary,Public,Yes,6,No,Yes,No,No,3.7,No,Yes,No
Sudurpashchim,Baitadi,Female,12,No,No,High,Lower Secondary,Private,Yes,7,No,Yes,No,No,3.0,No,Yes,Yes
Sudurpashchim,Bajhang,Female,13,No,No,Low,Lower Secondary,Private,Yes,6,No,No,No,No,2.4,No,Yes,No
Sudurpashchim,Bajura,Female,12,Yes,No,Very High,Lower Secondary,Public,Yes,6,No,Yes,No,No,0.5,No,No,No
Sudurpashchim,Dadeldhura,Male,18,No,No,Low,Upper Secondary,Public,Yes,11,No,No,No,No,3.7,Yes,Yes,No
Sudurpashchim,Darchula,Male,7,No,No,High,Primary,Public,Yes,2,No,N/A,No,No,0.7,No,Yes,No
Sudurpashchim,Doti,Male,13,No,No,Very High,Lower Secondary,Public,Yes,6,No,No,No,No,1.8,Yes,No,No
Sudurpashchim,Kailali,Female,14,Yes,No,High,Lower Secondary,Private,Yes,7,No,Yes,No,No,4.4,No,Yes,No
Sudurpashchim,Kanchanpur,Male,7,No,No,High,Primary,Public,Yes,2,No,N/A,No,No,2.6,No,No,No
Province 1,Bhojpur,Female,11,No,No,Very High,Lower Secondary,Public,Yes,8,No,No,No,No,1.5,Yes,Yes,No
Province 1,Dhankuta,Male,17,No,No,High,Upper Secondary,Public,Yes,12,No,Yes,No,No,1.0,Yes,Yes,No
Province 1,Ilam,Female,12,No,No,Low,Lower Secondary,Public,Yes,7,No,No,No,No,4.7,Yes,No,No
Province 1,Jhapa,Male,12,Yes,No,Medium,Lower Secondary,Public,Yes,8,No,No,No,No,3.1,Yes,Yes,No
Province 1,Khotang,Male,11,No,No,Medium,Lower Secondary,Public,Yes,6,No,Yes,No,No,2.9,Yes,No,Yes
Province 1,Morang,Male,12,Yes,No,Very High,Lower Secondary,Public,Yes,8,Yes,Yes,No,No,0.5,No,No,Yes
Province 1,Okhaldhunga,Male,15,No,No,Medium,Upper Secondary,Private,Yes,9,No,No,No,No,1.0,No,Yes,No
Province 1,Panchthar,Female,7,No,No,Medium,Primary,Public,No,1,-,N/A,Yes,No,2.2,Yes,No,Yes
Province 1,Sankhuwasabha,Female,7,No,No,Medium,Primary,Private,Yes,5,No,N/A,No,No,1.9,No,Yes,No
Province 1,Solukhumbu,Male,16,No,No,Very High,Upper Secondary,Public,Yes,12,No,Yes,No,No,1.2,No,No,No
Province 1,Sunsari,Male,15,No,Yes,Medium,Upper Secondary,Public,Yes,12,No,Yes,No,No,1.2,No,Yes,No
Province 1,Taplejung,Female,6,No,No,Very High,Primary,Public,Yes,1,No,N/A,No,No,4.6,Yes,No,No
Province 1,Terhathum,Female,14,No,Yes,High,Lower Secondary,Private,Yes,6,No,Yes,No,No,0.4,No,Yes,No
Province 1,Udayapur,Female,7,No,No,High,Primary,Public,Yes,4,No,N/A,No,No,5.0,Yes,No,No
Madhesh,Bara,Male,18,No,No,High,Upper Secondary,Public,Yes,11,No,Yes,No,No,1.9,Yes,No,No
Madhesh,Dhanusha,Male,10,No,No,Very High,Primary,Public,Yes,1,No,N/A,No,No,1.7,Yes,Yes,No
Madhesh,Mahottari,Male,9,Yes,Yes,Medium,Primary,Public,Yes,4,No,N/A,No,No,3.1,No,No,No
Madhesh,Parsa,Male,18,No,No,Low,Upper Secondary,Private,Yes,9,No,Yes,No,No,3.5,No,Yes,No
Madhesh,Rautahat,Female,12,No,No,Low,Lower Secondary,Public,Yes,7,No,Yes,No,No,3.4,No,No,No
Madhesh,Saptari,Female,7,No,No,Medium,Primary,Public,Yes,4,Yes,N/A,No,No,0.5,Yes,Yes,No
Madhesh,Sarlahi,Female,12,No,No,High,Lower Secondary,Private,Yes,7,No,Yes,No,No,3.4,No,Yes,No
Madhesh,Siraha,Female,9,No,No,Very High,Primary,Public,Yes,1,No,N/A,No,No,3.2,Yes,No,No
Bagmati,Bhaktapur,Female,7,No,No,High,Primary,Private,Yes,5,No,N/A,No,No,3.3,No,Yes,No
Bagmati,Chitwan,Female,9,Yes,No,Very High,Primary,Public,Yes,2,No,N/A,No,No,3.4,Yes,No,No
Bagmati,Dhading,Female,10,No,No,Low,Primary,Public,Yes,2,No,N/A,No,No,3.6,Yes,Yes,No
Bagmati,Dolakha,Female,8,No,No,Medium,Primary,Private,Yes,2,No,N/A,No,No,4.7,No,Yes,No
Bagmati,Kathmandu,Female,18,No,No,High,Upper Secondary,Public,Yes,12,No,Yes,No,No,2.6,Yes,Yes,No
Bagmati,Kavrepalanchok,Male,7,Yes,No,Low,Primary,Public,Yes,1,No,N/A,No,No,0.9,Yes,No,No
Bagmati,Lalitpur,Female,14,No,No,High,Lower Secondary,Public,Yes,6,No,No,No,No,2.1,Yes,Yes,No
Bagmati,Makwanpur,Female,12,No,No,Low,Lower Secondary,Public,Yes,7,No,Yes,No,No,3.6,Yes,Yes,No
Bagmati,Nuwakot,Male,13,No,No,Low,Lower Secondary,Private,Yes,7,No,Yes,No,No,1.4,No,Yes,Yes
Bagmati,Ramechhap,Female,7,No,No,Medium,Primary,Public,Yes,3,No,N/A,No,No,0.2,Yes,No,No
Bagmati,Rasuwa,Female,13,No,Yes,Low,Lower Secondary,Public,Yes,8,No,No,No,No,1.0,Yes,Yes,No
Bagmati,Sindhuli,Female,10,No,No,Very High,Primary,Public,Yes,4,No,N/A,No,No,3.4,Yes,Yes,No
Bagmati,Sindhupalchok,Male,12,No,No,Medium,Lower Secondary,Public,Yes,6,No,Yes,No,No,0.4,Yes,Yes,No
Gandaki,Baglung,Female,13,No,No,High,Lower Secondary,Public,Yes,7,No,Yes,No,No,3.8,Yes,No,No
Gandaki,Gorkha,Female,7,No,No,High,Primary,Public,Yes,2,No,N/A,No,No,3.9,No,No,No
Gandaki,Kaski,Female,13,No,No,High,Lower Secondary,Public,Yes,6,No,No,No,No,3.6,Yes,No,Yes
Gandaki,Lamjung,Female,7,No,No,Medium,Primary,Public,Yes,2,Yes,N/A,No,No,1.4,No,No,Yes
Gandaki,Manang,Female,14,No,No,High,Lower Secondary,Public,Yes,7,No,Yes,No,No,0.8,No,Yes,No
Gandaki,Mustang,Male,15,No,No,Medium,Upper Secondary,Public,Yes,10,No,No,No,No,4.5,No,No,No
Gandaki,Myagdi,Male,11,No,No,Medium,Lower Secondary,Private,Yes,7,Yes,Yes,No,No,3.2,No,Yes,No
Gandaki,Nawalpur,Female,12,No,No,Very High,Lower Secondary,Public,Yes,6,No,Yes,No,No,3.1,Yes,No,Yes
Gandaki,Parbat,Male,11,No,No,Medium,Lower Secondary,Public,Yes,8,No,No,No,No,0.4,No,No,No
Gandaki,Syangja,Male,9,No,No,Low,Primary,Public,Yes,4,No,N/A,No,No,2.8,Yes,No,Yes
Gandaki,Tanahun,Male,8,No,No,Low,Primary,Private,No,1,-,N/A,Yes,No,4.3,No,Yes,No
Lumbini,Arghakhanchi,Female,12,Yes,No,Low,Lower Secondary,Public,No,6,-,N/A,Yes,Yes,2.8,Yes,Yes,No
Lumbini,Banke,Female,12,No,No,Medium,Lower Secondary,Public,Yes,6,No,Yes,No,No,4.1,No,No,Yes
Lumbini,Bardiya,Female,7,No,No,High,Primary,Private,Yes,5,No,N/A,No,No,0.4,No,Yes,No
Lumbini,Dang,Male,11,No,No,Medium,Lower Secondary,Public,Yes,7,No,Yes,No,No,3.4,Yes,No,No
Lumbini,Eastern Rukum,Female,16,No,No,Medium,Upper Secondary,Public,Yes,12,No,Yes,No,No,1.5,No,Yes,No
Lumbini,Gulmi,Male,18,No,No,Medium,Upper Secondary,Public,No,12,-,N/A,Yes,No,2.4,Yes,Yes,No
Lumbini,Kapilvastu,Female,7,No,No,Low,Primary,Public,Yes,3,Yes,N/A,No,No,3.0,Yes,No,No
Lumbini,Parasi,Female,17,Yes,No,High,Upper Secondary,Public,Yes,10,No,No,No,No,3.2,No,Yes,No
Lumbini,Palpa,Female,17,Yes,No,High,Upper Secondary,Public,Yes,10,No,No,No,No,2.7,Yes,No,No
Lumbini,Pyuthan,Male,6,No,No,Medium,Primary,Public,Yes,3,No,N/A,No,No,2.9,Yes,Yes,No
Lumbini,Rolpa,Female,17,No,No,High,Upper Secondary,Public,No,10,-,N/A,Yes,Yes,1.9,No,No,Yes
Lumbini,Rupandehi,Male,13,No,No,Very High,Lower Secondary,Private,Yes,8,No,Yes,No,No,0.6,No,Yes,No
Karnali,Dailekh,Male,15,No,Yes,High,Upper Secondary,Private,Yes,11,Yes,Yes,No,No,1.3,No,Yes,No
Karnali,Dolpa,Female,17,No,No,Medium,Upper Secondary,Public,Yes,9,No,No,No,No,1.7,No,No,Yes
Karnali,Humla,Female,17,No,No,Very High,Upper Secondary,Public,Yes,9,No,Yes,No,No,4.4,Yes,Yes,No
Karnali,Jajarkot,Male,12,No,No,Medium,Lower Secondary,Public,Yes,6,No,Yes,No,No,2.1,Yes,No,No
Karnali,Jumla,Female,10,No,No,Medium,Primary,Public,Yes,4,No,N/A,No,No,0.1,Yes,No,No
Karnali,Kalikot,Female,11,No,No,Medium,Lower Secondary,Public,Yes,7,No,No,No,No,2.8,Yes,No,No
Karnali,Mugu,Female,18,No,Yes,Medium,Upper Secondary,Public,Yes,9,No,Yes,No,No,4.6,No,Yes,No
Karnali,Salyan,Female,9,No,No,Low,Primary,Public,Yes,3,No,N/A,No,No,2.2,Yes,No,No
Karnali,Surkhet,Female,12,No,No,Low,Lower Secondary,Private,No,8,-,N/A,Yes,Yes,1.0,No,Yes,No
Karnali,Western Rukum,Female,16,No,Yes,Low,Upper Secondary,Public,Yes,11,No,Yes,No,No,1.0,Yes,Yes,No
Sudurpashchim,Achham,Female,12,No,No,High,Lower Secondary,Public,Yes,7,No,Yes,No,No,2.9,Yes,Yes,No
Sudurpashchim,Baitadi,Female,7,No,No,Medium,Primary,Public,Yes,3,No,N/A,No,No,4.7,Yes,No,No
Sudurpashchim,Bajhang,Male,8,No,No,Very High,Primary,Public,Yes,3,No,N/A,No,No,1.5,Yes,No,No
Sudurpashchim,Bajura,Male,16,No,No,Medium,Upper Secondary,Public,Yes,10,No,Yes,No,No,3.5,Yes,Yes,No
Sudurpashchim,Dadeldhura,Male,7,No,No,Medium,Primary,Public,Yes,1,No,N/A,No,No,4.2,No,Yes,No
Sudurpashchim,Darchula,Female,13,No,No,Medium,Lower Secondary,Public,Yes,8,No,No,No,No,0.3,No,Yes,No
Sudurpashchim,Doti,Male,10,No,No,Medium,Primary,Public,Yes,1,No,N/A,No,No,0.7,Yes,No,No
Sudurpashchim,Kailali,Male,15,No,No,High,Upper Secondary,Public,Yes,11,No,Yes,No,No,0.1,Yes,Yes,No
Sudurpashchim,Kanchanpur,Female,6,No,No,High,Primary,Public,Yes,3,No,N/A,No,No,0.7,Yes,No,No
Province 1,Bhojpur,Female,18,No,No,Low,Upper Secondary,Public,Yes,10,No,Yes,No,No,3.3,Yes,No,No
Province 1,Dhankuta,Male,15,No,No,Medium,Upper Secondary,Public,Yes,9,No,Yes,No,No,2.0,Yes,No,Yes
Province 1,Ilam,Male,12,No,No,Very High,Lower Secondary,Private,Yes,8,No,Yes,No,No,4.0,No,Yes,No
Province 1,Jhapa,Male,18,No,No,Very High,Upper Secondary,Public,Yes,11,No,No,No,No,4.7,Yes,No,No
Province 1,Khotang,Male,15,No,No,Low,Upper Secondary,Public,Yes,10,No,Yes,No,No,3.5,No,Yes,No
Province 1,Morang,Male,11,No,No,Medium,Lower Secondary,Private,Yes,6,No,Yes,No,No,4.0,No,Yes,No
Province 1,Okhaldhunga,Female,6,No,No,Low,Primary,Public,Yes,5,No,N/A,No,No,3.4,Yes,No,No
Province 1,Panchthar,Female,8,No,No,High,Primary,Private,Yes,5,No,N/A,No,No,2.7,No,Yes,No
Province 1,Sankhuwasabha,Male,16,No,No,Low,Upper Secondary,Public,Yes,12,No,No,No,No,3.0,No,Yes,Yes
Province 1,Solukhumbu,Male,14,No,No,Medium,Lower Secondary,Public,Yes,6,No,Yes,No,No,1.9,Yes,No,No
Province 1,Sunsari,Female,6,No,No,Medium,Primary,Public,Yes,5,Yes,N/A,No,No,0.8,Yes,No,No
Province 1,Taplejung,Male,15,No,No,Very High,Upper Secondary,Public,Yes,10,No,Yes,No,No,1.8,Yes,No,No
Province 1,Terhathum,Female,9,No,No,High,Primary,Public,Yes,4,No,N/A,No,No,3.9,No,Yes,No
Province 1,Udayapur,Male,17,No,No,High,Upper Secondary,Public,Yes,11,No,Yes,No,No,1.7,Yes,No,No
Madhesh,Bara,Male,14,No,No,Medium,Lower Secondary,Public,No,6,-,N/A,Yes,Yes,0.9,Yes,No,No
Madhesh,Dhanusha,Male,15,No,Yes,High,Upper Secondary,Public,Yes,12,No,Yes,No,No,4.1,No,Yes,No
Madhesh,Mahottari,Female,12,No,No,Medium,Lower Secondary,Public,Yes,7,No,Yes,No,No,0.6,Yes,Yes,No
Madhesh,Parsa,Male,13,No,No,Low,Lower Secondary,Private,Yes,6,No,Yes,No,No,3.9,No,Yes,No
Madhesh,Rautahat,Female,7,No,No,Low,Primary,Public,Yes,1,No,N/A,No,No,1.4,Yes,Yes,No
Madhesh,Saptari,Male,13,No,No,Medium,Lower Secondary,Public,Yes,8,No,Yes,No,No,2.0,Yes,Yes,Yes
Madhesh,Sarlahi,Male,18,No,No,High,Upper Secondary,Public,Yes,12,Yes,Yes,No,No,1.1,No,No,No
Madhesh,Siraha,Female,9,No,No,High,Primary,Public,No,5,-,N/A,Yes,No,2.8,No,No,No
Bagmati,Bhaktapur,Male,16,No,No,Medium,Upper Secondary,Public,Yes,12,No,Yes,No,No,0.3,No,No,No
Bagmati,Chitwan,Female,15,No,No,Very High,Upper Secondary,Public,Yes,11,No,No,No,No,3.0,Yes,No,No
Bagmati,Dhading,Female,11,No,Yes,Very High,Lower Secondary,Private,Yes,6,No,Yes,No,No,4.8,No,Yes,No
Bagmati,Dolakha,Male,12,Yes,No,High,Lower Secondary,Public,No,8,-,N/A,Yes,Yes,0.3,No,No,No
Bagmati,Kathmandu,Male,12,Yes,No,Medium,Lower Secondary,Public,Yes,8,No,Yes,No,No,3.8,Yes,No,No
Bagmati,Kavrepalanchok,Male,13,No,No,Low,Lower Secondary,Public,Yes,8,No,Yes,No,No,3.6,Yes,No,Yes
Bagmati,Lalitpur,Male,11,No,No,Low,Lower Secondary,Public,Yes,6,Yes,No,No,No,1.5,Yes,Yes,No
Bagmati,Makwanpur,Female,13,No,No,Very High,Lower Secondary,Public,Yes,6,No,No,No,No,4.4,Yes,Yes,Yes
Bagmati,Nuwakot,Female,10,Yes,No,High,Primary,Public,Yes,3,No,N/A,No,No,2.6,Yes,Yes,No
Bagmati,Ramechhap,Female,8,Yes,No,Low,Primary,Public,Yes,2,No,N/A,No,No,0.6,Yes,No,No
Bagmati,Rasuwa,Female,18,No,No,Medium,Upper Secondary,Public,Yes,9,No,Yes,No,No,3.7,Yes,No,No
Bagmati,Sindhuli,Female,15,No,No,Very High,Upper Secondary,Private,Yes,9,No,Yes,No,No,3.5,No,Yes,No
Bagmati,Sindhupalchok,Male,9,No,No,High,Primary,Public,Yes,2,No,N/A,No,No,3.2,Yes,Yes,No
Gandaki,Baglung,Female,16,No,Yes,Medium,Upper Secondary,Public,Yes,9,No,No,No,No,1.8,Yes,No,No
Gandaki,Gorkha,Female,7,No,No,High,Primary,Public,Yes,3,No,N/A,No,No,3.1,Yes,No,No
Gandaki,Kaski,Male,9,No,No,Very High,Primary,Public,Yes,2,No,N/A,No,No,2.0,Yes,No,No
Gandaki,Lamjung,Male,14,No,No,Medium,Lower Secondary,Private,Yes,8,Yes,Yes,No,No,4.4,No,Yes,No
Gandaki,Manang,Male,17,No,Yes,High,Upper Secondary,Public,Yes,12,No,Yes,No,No,0.2,Yes,Yes,No
Gandaki,Mustang,Female,16,No,No,Medium,Upper Secondary,Public,Yes,10,No,Yes,No,No,4.5,No,Yes,No
Gandaki,Myagdi,Male,16,No,No,Medium,Upper Secondary,Private,Yes,12,No,No,No,No,3.6,No,Yes,Yes
Gandaki,Nawalpur,Female,10,No,No,Low,Primary,Public,Yes,4,No,N/A,No,No,1.1,No,No,No
Gandaki,Parbat,Male,18,No,No,Low,Upper Secondary,Public,Yes,11,No,Yes,No,No,0.8,Yes,No,No
Gandaki,Syangja,Female,10,No,No,Medium,Primary,Private,Yes,2,No,N/A,No,No,2.8,No,Yes,No
Gandaki,Tanahun,Male,15,No,No,Medium,Upper Secondary,Public,Yes,11,No,Yes,No,No,0.8,Yes,No,No
Lumbini,Arghakhanchi,Female,10,No,No,Low,Primary,Public,Yes,3,No,N/A,No,No,2.1,Yes,No,No
Lumbini,Banke,Female,14,No,No,High,Lower Secondary,Public,Yes,6,No,Yes,No,No,3.7,No,No,No
Lumbini,Bardiya,Female,12,No,No,High,Lower Secondary,Public,Yes,8,No,No,No,No,3.1,Yes,Yes,No
Lumbini,Dang,Male,11,No,Yes,Medium,Lower Secondary,Public,Yes,6,No,Yes,No,No,0.8,Yes,No,No
Lumbini,Eastern Rukum,Female,13,No,No,Medium,Lower Secondary,Public,Yes,6,No,Yes,No,No,1.2,Yes,Yes,No
Lumbini,Gulmi,Female,11,No,No,Low,Lower Secondary,Private,Yes,6,Yes,Yes,No,No,4.3,No,Yes,No
Lumbini,Kapilvastu,Male,17,No,No,Medium,Upper Secondary,Public,Yes,11,Yes,No,No,No,0.7,No,No,Yes
Lumbini,Parasi,Female,11,No,No,High,Lower Secondary,Public,No,8,-,N/A,Yes,Yes,1.5,Yes,No,No
Lumbini,Palpa,Male,18,No,No,Low,Upper Secondary,Private,Yes,11,No,No,No,No,2.1,No,Yes,Yes
Lumbini,Pyuthan,Male,11,No,No,Low,Lower Secondary,Public,Yes,7,No,No,No,No,2.6,No,No,No
Lumbini,Rolpa,Female,12,No,No,Very High,Lower Secondary,Public,Yes,6,No,Yes,No,No,2.6,No,Yes,No
Lumbini,Rupandehi,Male,18,No,Yes,High,Upper Secondary,Private,Yes,9,No,Yes,No,No,4.2,No,Yes,No
Karnali,Dailekh,Female,10,No,No,Low,Primary,Public,Yes,1,No,N/A,No,No,2.6,Yes,No,No
Karnali,Dolpa,Male,18,No,No,Medium,Upper Secondary,Public,No,10,-,N/A,Yes,No,2.9,No,Yes,Yes
Karnali,Humla,Male,13,No,No,Medium,Lower Secondary,Public,Yes,7,No,No,No,No,2.2,Yes,No,No
Karnali,Jajarkot,Male,8,No,No,Medium,Primary,Private,Yes,4,No,N/A,No,No,2.5,No,Yes,No
Karnali,Jumla,Male,6,Yes,No,High,Primary,Private,Yes,1,No,N/A,No,No,2.8,No,Yes,Yes
Karnali,Kalikot,Female,16,No,No,Low,Upper Secondary,Private,Yes,11,No,Yes,No,No,3.0,No,Yes,No
Karnali,Mugu,Female,8,No,No,Very High,Primary,Public,Yes,2,No,N/A,No,No,1.6,Yes,No,No
Karnali,Salyan,Male,8,No,Yes,High,Primary,Private,Yes,3,No,N/A,No,No,4.8,No,Yes,No
Karnali,Surkhet,Male,16,No,No,Medium,Upper Secondary,Public,Yes,12,No,Yes,No,No,2.8,Yes,No,No
Karnali,Western Rukum,Male,10,No,No,Very High,Primary,Public,Yes,4,Yes,N/A,No,No,2.6,No,No,No
Sudurpashchim,Achham,Male,16,No,No,Medium,Upper Secondary,Public,No,11,-,N/A,Yes,Yes,0.4,Yes,No,No
Sudurpashchim,Baitadi,Female,15,No,No,Very High,Upper Secondary,Public,Yes,9,No,Yes,No,No,2.2,No,No,No
Sudurpashchim,Bajhang,Female,14,No,No,Medium,Lower Secondary,Private,Yes,8,No,No,No,No,4.8,No,Yes,No
Sudurpashchim,Bajura,Male,17,No,No,Very High,Upper Secondary,Private,Yes,12,No,Yes,No,No,0.3,No,Yes,Yes
Sudurpashchim,Dadeldhura,Female,16,No,No,Medium,Upper Secondary,Private,Yes,11,No,Yes,No,No,3.5,No,Yes,No
Sudurpashchim,Darchula,Female,7,No,No,Medium,Primary,Public,Yes,2,No,N/A,No,No,2.0,Yes,No,Yes
Sudurpashchim,Doti,Female,12,No,No,Medium,Lower Secondary,Private,Yes,6,No,No,No,No,3.6,No,Yes,No
Sudurpashchim,Kailali,Female,10,No,No,High,Primary,Public,Yes,2,No,N/A,No,No,1.9,No,No,No
Sudurpashchim,Kanchanpur,Male,9,No,No,High,Primary,Private,Yes,4,No,N/A,No,No,0.3,No,Yes,No
Province 1,Bhojpur,Male,16,No,No,High,Upper Secondary,Public,Yes,10,No,No,No,No,3.2,No,Yes,No
Province 1,Dhankuta,Female,8,No,No,Medium,Primary,Public,Yes,1,No,N/A,No,No,2.2,Yes,Yes,No
Province 1,Ilam,Female,16,No,No,High,Upper Secondary,Public,Yes,12,No,Yes,No,No,4.9,Yes,No,Yes
Province 1,Jhapa,Male,15,No,No,Medium,Upper Secondary,Public,Yes,11,No,No,No,No,4.0,Yes,Yes,Yes
Province 1,Khotang,Male,6,No,No,Low,Primary,Public,Yes,4,No,N/A,No,No,3.5,Yes,No,No
Province 1,Morang,Female,7,No,No,Low,Primary,Public,Yes,3,No,N/A,No,No,1.3,No,No,Yes
Province 1,Okhaldhunga,Male,8,No,No,High,Primary,Private,Yes,3,No,N/A,No,No,3.7,No,Yes,No
Province 1,Panchthar,Male,10,No,No,Low,Primary,Private,Yes,2,No,N/A,No,No,2.3,No,Yes,No
Province 1,Sankhuwasabha,Female,10,No,No,Medium,Primary,Public,Yes,5,No,N/A,No,No,4.8,No,Yes,No
Province 1,Solukhumbu,Female,14,No,No,High,Lower Secondary,Public,Yes,7,No,Yes,No,No,2.3,No,Yes,Yes
Province 1,Sunsari,Male,14,No,No,High,Lower Secondary,Public,Yes,6,No,Yes,No,No,1.6,Yes,No,No
Province 1,Taplejung,Male,16,No,No,Very High,Upper Secondary,Public,Yes,12,No,Yes,No,No,2.6,No,No,No
Province 1,Terhathum,Female,14,Yes,No,Medium,Lower Secondary,Public,Yes,7,Yes,Yes,No,No,0.4,No,No,No
Province 1,Udayapur,Male,16,No,No,Very High,Upper Secondary,Public,Yes,10,No,Yes,No,No,1.2,Yes,No,No
Madhesh,Bara,Male,9,No,No,Low,Primary,Public,Yes,2,No,N/A,No,No,0.6,Yes,Yes,No
Madhesh,Dhanusha,Male,13,No,No,Low,Lower Secondary,Private,No,6,-,N/A,Yes,Yes,1.1,No,Yes,No
Madhesh,Mahottari,Female,9,No,Yes,Low,Primary,Public,Yes,4,No,N/A,No,No,2.3,Yes,No,Yes
Madhesh,Parsa,Male,12,No,No,Very High,Lower Secondary,Public,Yes,6,No,Yes,No,No,1.6,No,No,No
Madhesh,Rautahat,Female,15,No,No,Medium,Upper Secondary,Private,Yes,12,No,Yes,No,No,5.0,No,Yes,No
Madhesh,Saptari,Female,11,No,No,Medium,Lower Secondary,Public,Yes,6,No,Yes,No,No,2.4,Yes,No,No
Madhesh,Sarlahi,Female,6,No,No,Medium,Primary,Public,Yes,5,No,N/A,No,No,4.3,Yes,Yes,Yes
Madhesh,Siraha,Female,11,No,No,Low,Lower Secondary,Public,Yes,7,No,No,No,No,2.2,Yes,Yes,No
Bagmati,Bhaktapur,Male,17,No,No,Medium,Upper Secondary,Public,No,10,-,N/A,Yes,Yes,4.3,No,No,No
Bagmati,Chitwan,Male,11,No,No,High,Lower Secondary,Public,Yes,6,Yes,Yes,No,No,3.7,Yes,Yes,No
Bagmati,Dhading,Male,18,Yes,No,Low,Upper Secondary,Public,Yes,12,No,Yes,No,No,3.3,No,No,Yes
Bagmati,Dolakha,Female,13,No,No,Medium,Lower Secondary,Public,Yes,8,No,Yes,No,No,3.6,Yes,No,No
Bagmati,Kathmandu,Male,18,No,No,Low,Upper Secondary,Public,Yes,9,No,Yes,No,No,4.2,Yes,No,No
Bagmati,Kavrepalanchok,Female,6,No,No,High,Primary,Private,Yes,5,No,N/A,No,No,4.7,No,Yes,No
Bagmati,Lalitpur,Male,7,No,No,Very High,Primary,Public,Yes,1,No,N/A,No,No,0.9,Yes,No,No
Bagmati,Makwanpur,Male,11,No,No,Medium,Lower Secondary,Public,Yes,6,No,Yes,No,No,2.7,No,Yes,Yes
Bagmati,Nuwakot,Male,13,No,No,Low,Lower Secondary,Public,Yes,6,No,Yes,No,No,2.3,No,Yes,No
Bagmati,Ramechhap,Male,6,No,No,Medium,Primary,Private,Yes,1,No,N/A,No,No,1.4,No,Yes,No
Bagmati,Rasuwa,Male,17,No,No,Low,Upper Secondary,Private,Yes,12,No,Yes,No,No,2.7,No,Yes,No
Bagmati,Sindhuli,Female,17,Yes,No,Low,Upper Secondary,Private,Yes,9,No,Yes,No,No,4.6,No,Yes,No
Bagmati,Sindhupalchok,Male,15,No,No,High,Upper Secondary,Public,Yes,12,No,No,No,No,4.4,Yes,No,No
Gandaki,Baglung,Male,17,No,No,Very High,Upper Secondary,Public,Yes,9,No,Yes,No,No,0.7,No,No,No
